Attempt,Timestamp,VCSize,HeapBefore,HeapAfterRead,HeapAfterHTTP,MaxAllocHeap,WiFiTime,VCReadTime,PostTime,TotalTime,HTTPCode,VCStatus
1,12133,997,233916,237408,192984,167924,3503,11,1325,1336,200,"❌ Revoked"
2,15423,997,233112,236604,192736,163828,3503,11,1247,1258,200,"❌ Revoked"
3,18641,997,232888,236380,192504,163828,3503,11,1173,1184,200,"❌ Revoked"
4,21860,997,232608,236100,192296,163828,3503,11,1175,1186,200,"❌ Revoked"
5,25054,997,232384,235932,192076,163828,3503,10,1150,1160,200,"❌ Revoked"
6,28205,997,232216,235708,191856,163828,3503,11,1106,1117,200,"❌ Revoked"
7,31401,997,231992,235484,191608,163828,3503,11,1153,1164,200,"❌ Revoked"
8,34348,997,231768,235260,191408,163828,3503,11,903,914,200,"❌ Revoked"
9,37523,997,231544,235036,191024,163828,3503,11,1131,1142,200,"❌ Revoked"
10,40735,997,231320,234812,190940,163828,3503,11,1167,1178,200,"❌ Revoked"
11,43878,997,231096,234588,190712,163828,3503,11,1099,1110,200,"❌ Revoked"
12,47047,997,230872,234364,190516,163828,3503,11,1125,1136,200,"❌ Revoked"
13,50359,997,230648,234140,190268,163828,3503,11,1267,1278,200,"❌ Revoked"
14,53744,997,230424,233916,190048,163828,3503,11,1341,1352,200,"❌ Revoked"
15,56912,997,230200,233692,189816,163828,3503,11,1124,1135,200,"❌ Revoked"
16,60163,997,229976,233468,189620,163828,3503,11,1206,1217,200,"❌ Revoked"
17,63460,997,229672,233188,189612,159732,3503,11,1252,1263,200,"❌ Revoked"
18,66301,997,229740,233232,189608,159732,3503,11,797,808,200,"❌ Revoked"
19,69084,997,229676,233232,189604,159732,3503,11,737,748,200,"❌ Revoked"
20,72368,997,229732,233232,189580,159732,3503,11,1239,1250,200,"❌ Revoked"
21,75540,997,229732,233232,189596,159732,3503,11,1128,1139,200,"❌ Revoked"
22,78287,997,229732,233232,189604,159732,3503,11,703,714,200,"❌ Revoked"
23,81717,997,229732,233232,189596,159732,3503,11,1385,1396,200,"❌ Revoked"
